GitHub Conversation,Contributor,Tool Name,Link to Tool,Description or Use
"GitHub, Git, & DH Tool Assignment ",rubylm2,Gephi,https://gephi.org/,I think it's a helpful DH tool given its capabilities in network analysis and visualizations.
"GitHub, Git, & DH Tool Assignment ",isabellescheng,Drupal,https://www.drupal.org/," I took the music librarianship course last semester, and one of the music databases we studied used the Islandora repository system, which is based on Drupal. I would like to learn more about this management system!"
"GitHub, Git, & DH Tool Assignment ",eewatkins,Scalar,http://scalar.usc.edu/scalar, I consider Scalar to be a DH tool because it is a software for publishing and linking multimedia scholarship on digital platforms.
"GitHub, Git, & DH Tool Assignment ",pptorchia,WordPress,https://wordpress.com/home/tenweeks716798793.wordpress.com,"I consider this to be a ""DH tool"" because, as a web content management system, this digital tool can assist humanists in organizing work around publishing, media collections, and hosting discussion forums. "
"GitHub, Git, & DH Tool Assignment ",inyoung-j,Python,https://www.python.org/,"In this research, the author used Python with Natural Language Processing to tokenize,
tag, and parse corpus from the chosen document and extract spatial data
concerning the cognitive mapping of the document.
This helps distance reading effectively,
widens understanding of the document along with the social and cultural aspects,
and opens up further discussion.
"
"GitHub, Git, & DH Tool Assignment ",ap0110ck,X,https://twitter.com/," I use its search function, sometimes tagged with a user's @, to search for opinions and discussions about authors, books, and other literary topics."
"GitHub, Git, & DH Tool Assignment ",aali32991,TEI,https://tei-c.org/," Early Modern Songscapes is a project exploring the circulation and performance of English Renaissance poetry. The recently released beta version of the project’s site includes a digital exploration of Henry Lawes’s 1653 songbook Ayres and Dialogues. The project is a collaboration between the University of Toronto (UoT), the University of Maryland (UMD), and the University of South Carolina (USC). My role (Raff Viglianti) at MITH for this first exploratory phase has focused on designing a data model and an online viewer for the text and musical score of the songs. Prof. Scott Trudell (UMD) and Prof. Sarah Williams (USC) have contributed to shaping the data model and have carried out the encoding work so far.
"
"GitHub, Git, & DH Tool Assignment ",AbigailMBarrett,Zotero,https://www.zotero.org/,"it is a digital tool which can help researchers both in the humanities to organize resources (including digital sources), write notes, and create citations."
"GitHub, Git, & DH Tool Assignment ",kfata2,StoryMap.JS,https://storymap.knightlab.com/,The purpose of StoryMap is to highlight the locations of a series of events through mapping and descriptions.
"GitHub, Git, & DH Tool Assignment ",rschneider98,Palladio,http://hdlab.stanford.edu/palladio/about/,Palladio is a network analysis and visualization to designed to graph relationships and geography as well as perform statistical calculations about the relationships.
"GitHub, Git, & DH Tool Assignment ",SK-143381,Scholarly 3D Toolkit,https://dh-abstracts.library.virginia.edu/works/2111,"This tool can help modulate details about events and monuments into 3D environments by adding metadata, which I found really interesting."
"GitHub, Git, & DH Tool Assignment ",yoonsuh3,Voyant,https://voyant-tools.org/,Voyant is a DH tool for textual analysis.
"GitHub, Git, & DH Tool Assignment ",RebeccaThurber,Voyant,https://voyant-tools.org/,I consider Voyant to be a DH tool because it is a web-based platform that allows the user to read and analyze digital texts.